DATASET 2. Raw data of the DUAL TASK EXPERIMENT.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ExperimentName,Subject,AgeSubj,HandenesSubj,Procedure[Block],CueDur[Trial],RespExpTask1.CRESP[Trial],RespExpTask2.CRESP[Trial],RespTARGET.RT[Trial],SOA[Trial],Target[Trial],RespExpTask1_RESP_CORR,RespExpTask2_RESP_CORR
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,TrialProc,,,,,,,,
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,TrialProc,,,,,,,,
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,TrialProc,,,,,,,,
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,TrialProc,,,,,,,,
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,TrialProc,,,,,,,,
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,TrialProc,,,,,,,,
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,TrialProc,,,,,,,,
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,TrialProc,,,,,,,,
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,TrialProc,,,,,,,,
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,TrialProc,,,,,,,,
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,TrialProc,,,,,,,,
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,TrialProc,,,,,,,,
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,300,m,m,959,100,7,m,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,100,z,z,723,100,2,z,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,100,m,z,677,0,7,m,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,350,z,m,694,100,2,z,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,350,z,m,648,0,3,z,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,150,z,z,768,100,4,z,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,150,z,z,725,0,2,z,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,350,m,m,757,100,6,m,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,100,m,z,917,0,6,m,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,350,z,m,1062,100,4,z,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,100,z,z,891,100,4,z,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,350,m,m,782,100,8,m,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,300,m,m,601,0,8,m,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,350,m,m,640,0,6,m,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,350,z,m,760,0,4,z,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,300,z,m,773,100,3,z,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,350,m,m,984,0,7,m,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,350,z,m,753,0,2,z,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,300,z,m,821,100,2,z,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,300,z,m,853,100,4,z,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,300,z,m,607,0,2,z,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,150,z,z,828,100,3,z,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,150,m,z,760,0,7,m,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,300,m,m,842,0,7,m,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,300,m,m,911,0,6,m,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,100,z,z,951,100,3,z,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,150,m,z,847,100,8,m,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,300,m,m,1063,100,6,m,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,150,m,z,1122,100,7,m,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,350,z,m,928,100,3,z,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,100,m,z,1096,100,6,m,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,100,z,z,679,0,4,z,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,100,m,z,641,100,8,m,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,350,m,m,701,0,8,m,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,100,z,z,760,0,2,z,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,150,z,z,710,0,3,z,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,300,z,m,605,0,3,z,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,300,z,m,587,0,4,z,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,150,z,z,734,100,2,z,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,100,z,z,760,0,3,z,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,150,z,z,745,0,4,z,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,150,m,z,907,100,6,m,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,100,m,z,786,0,8,m,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,350,m,m,747,100,7,m,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,150,m,z,845,0,8,m,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,300,m,m,973,100,8,m,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,100,m,z,809,100,7,m,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,150,m,z,966,0,6,m,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,100,z,z,1108,100,2,z,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,150,m,z,733,0,7,m,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,100,m,z,789,100,6,m,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,300,m,m,664,100,7,m,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,300,m,m,671,0,7,m,m
