Participant,TASK,non-overlap_LONG_LARGE,non-overlap_LONG_SMALL,non-overlap_SHORT_LARGE,non-overlap_SHORT_SMALL,overlap_LONG_LARGE,overlap_LONG_SMALL,overlap_SHORT_LARGE,overlap_SHORT_SMALL,
1,SINGLE_TASK,588.116,601.623,661.928,631.313,605.439,618.838,673.271,724.169,724.169
2,SINGLE_TASK,414.4,475.648,485.319,502.929,451.681,484.944,538.362,1163.379,560.75
3,SINGLE_TASK,530.279,518.357,512.268,555.25,511.986,524.423,587.653,769.588,590.929
4,SINGLE_TASK,543.042,554.181,556.486,583.3,568.667,579.286,609.507,935.015,610.731
5,SINGLE_TASK,565.915,585.211,564.227,594.672,576.13,571.925,615.574,871.518,638.188
6,SINGLE_TASK,529.7,520.104,565.1,575.723,535.739,559.044,594.417,760.045,599.794
7,SINGLE_TASK,458.282,476.319,501.085,531.014,484.884,508.188,536.943,512.731,569.362
8,DUAL_TASK,586.582,629.373,661.115,671.385,641.667,683.7,737.915,961.107,699.369
9,SINGLE_TASK,599.6,604.887,626.943,654.5,631.551,634.155,654.246,509.429,684.647
10,DUAL_TASK,706.636,701.765,771.03,723.871,733.147,754.567,790.288,560.75,772.246
11,DUAL_TASK,986.127,1031.393,1062.194,1098.176,1059.853,1103.814,1109.682,590.929,1163.379
12,DUAL_TASK,852.213,934.593,928.619,986.859,935.313,1054.113,1007.18,610.731,1026.545
13,DUAL_TASK,1027.333,976.032,1065.308,944.783,1074.117,976.518,1153.542,638.188,956.3
14,DUAL_TASK,1053.492,1004.806,1079.712,1060.288,1105.145,1090.066,1101,599.794,1118.54
15,DUAL_TASK,1086.98,1045.917,1139.75,1227.571,1179.314,1125.692,1174.62,569.362,1186.833
16,DUAL_TASK,1018.979,1052.286,1065.048,1021.788,964.216,1127.25,1021.938,703.955,1136.024
17,SINGLE_TASK,572.042,647.028,598.529,641.438,575.429,656.348,620.015,684.647,705.925
18,DUAL_TASK,898.159,848.46,899.4,909.831,930.842,877.017,944.079,772.246,974.119
20,SINGLE_TASK,513.479,509.429,543.029,518.507,504.2,512.431,560.831,1032.194,553.076
21,SINGLE_TASK,348.366,357.338,380.127,391.643,366.268,371.371,415.194,956.3,410.734
22,DUAL_TASK,593.134,637.403,675.167,675.924,637.766,628.586,751.986,1118.54,769.588
23,SINGLE_TASK,430.571,423.333,435.174,400.231,426.145,430.537,430.788,328.662,433.729
25,SINGLE_TASK,615,637.561,655.985,653.06,618.435,620.116,669.059,716.569,699.136
26,DUAL_TASK,764.127,819.691,862.429,866.031,850.224,867.094,894.807,705.925,935.015
27,DUAL_TASK,695.532,691.667,725.912,849.322,737.044,735.262,785.358,951.852,863.836
28,DUAL_TASK,644.092,662.229,692.912,697.431,710.794,677.197,733.677,553.076,760.045
29,SINGLE_TASK,464.681,462.971,475.955,494.426,468.329,459.366,509.764,410.734,512.731
30,DUAL_TASK,832.941,864.194,886.394,850.787,882.061,882.772,919.509,433.729,951.545
31,SINGLE_TASK,483.642,476.03,493.6,485.529,489.522,500.059,521.358,699.136,509.429
