ExperimentName,Subject,AgeSubj,HandenesSubj,Procedure[Block],CueDur[Trial],RespExpTask1.CRESP[Trial],SOA[Trial],RespExpTask1_RESP_CORR,Correct (0/1),Accuracy,CueDur,RespTARGET.RT[Trial]
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,100,m,0,m,1,566,SHORT,720
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,100,z,100,z,1,,SHORT,648
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,300,z,100,z,1,,LONG,685
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,350,z,0,z,1,,LONG,480
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,100,m,100,m,1,,SHORT,653
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,150,m,0,m,1,,SHORT,616
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,350,z,100,z,1,,LONG,588
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,100,m,100,m,1,,SHORT,749
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,100,z,0,z,1,,SHORT,646
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,100,z,0,z,1,,SHORT,697
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,300,m,0,z,0,,LONG,602
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,300,m,0,m,1,,LONG,613
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,150,z,0,z,1,,SHORT,749
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,300,m,0,m,1,,LONG,659
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,150,z,0,z,1,,SHORT,704
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,100,z,100,z,1,,SHORT,807
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,150,m,0,m,1,,SHORT,689
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,350,z,100,z,1,,LONG,517
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,150,m,0,m,1,,SHORT,717
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,150,z,100,z,1,,SHORT,361
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,300,z,100,z,1,,LONG,599
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,100,m,0,m,1,,SHORT,727
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,100,m,0,m,1,,SHORT,650
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,100,z,0,z,1,,SHORT,316
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,300,z,100,z,1,,LONG,636
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,300,m,100,m,1,,LONG,540
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,100,z,100,z,1,,SHORT,658
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,350,m,100,m,1,,LONG,563
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,300,m,100,m,1,,LONG,832
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,350,m,100,m,1,,LONG,625
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,300,z,0,z,1,,LONG,625
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,350,z,100,z,1,,LONG,655
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,350,m,0,m,1,,LONG,527
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,350,z,0,z,1,,LONG,526
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,150,z,0,z,1,,SHORT,276
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,350,m,100,m,1,,LONG,425
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,300,m,100,m,1,,LONG,406
