ExperimentName,Subject,AgeSubj,HandenesSubj,Procedure[Block],CueDur[Trial],RespExpTask1.CRESP[Trial],RespTARGET.RT[Trial],SOA[Trial],Target[Trial],RespExpTask1_RESP_CORR,CueDur_SL
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,100,m,720,0,7,m,SHORT
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,100,z,648,100,3,z,SHORT
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,300,z,685,100,4,z,LONG
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,350,z,480,0,4,z,LONG
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,100,m,653,100,8,m,SHORT
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,150,m,616,0,7,m,SHORT
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,350,z,588,100,4,z,LONG
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,100,m,749,100,6,m,SHORT
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,100,z,646,0,4,z,SHORT
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,100,z,697,0,2,z,SHORT
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,300,m,602,0,6,z,LONG
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,300,m,613,0,7,m,LONG
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,150,z,749,0,3,z,SHORT
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,300,m,659,0,8,m,LONG
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,150,z,704,0,2,z,SHORT
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,100,z,807,100,4,z,SHORT
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,150,m,689,0,6,m,SHORT
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,350,z,517,100,3,z,LONG
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,150,m,717,0,8,m,SHORT
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,150,z,361,100,3,z,SHORT
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,300,z,599,100,2,z,LONG
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,100,m,727,0,6,m,SHORT
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,100,m,650,0,8,m,SHORT
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,100,z,316,0,3,z,SHORT
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,300,z,636,100,3,z,LONG
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,300,m,540,100,8,m,LONG
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,100,z,658,100,2,z,SHORT
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,350,m,563,100,8,m,LONG
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,300,m,832,100,7,m,LONG
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,350,m,625,100,7,m,LONG
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,300,z,625,0,2,z,LONG
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,350,z,655,100,2,z,LONG
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,350,m,527,0,8,m,LONG
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,350,z,526,0,2,z,LONG
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,150,z,276,0,4,z,SHORT
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,350,m,425,100,6,m,LONG
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,300,m,406,100,6,m,LONG
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,350,m,524,0,6,m,LONG
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,350,m,564,0,7,m,LONG
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,150,z,666,100,2,z,SHORT
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,150,m,682,100,8,m,SHORT
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,150,m,408,100,7,z,SHORT
Exp1_SingleTask_TiTo_Subj17-24,1,22,sx,BlockProc1,300,z,643,0,4,z,LONG
