TASK_NUMBER,ExperimentName,Subject,CueDur[Trial],RespTARGET.RT[Trial],CORRECT_NUMBER,SOA[Trial],DURATION,CORRECT_RESP
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,22,350,4,z,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,150,13,z,100,SHORT,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,22,350,21,z,0,LONG,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,22,350,43,z,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,350,47,m,0,LONG,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,22,300,59,m,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,300,60,z,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,300,63,z,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,350,64,m,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,5,300,71,z,100,LONG,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,22,350,76,z,0,LONG,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,28,300,92,m,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,29,350,108,z,100,LONG,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,28,350,118,m,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,29,100,120,m,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,300,120,z,100,LONG,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,22,300,121,m,0,LONG,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,22,350,122,m,100,LONG,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,22,350,125,m,100,LONG,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,18,100,129,z,0,SHORT,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,22,150,129,m,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,300,130,m,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,300,136,m,0,LONG,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,22,300,136,z,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,25,350,140,z,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,100,145,m,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,300,150,z,0,LONG,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,13,300,151,z,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,350,151,z,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,350,151,m,100,LONG,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,22,150,152,z,0,SHORT,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,22,150,153,m,0,SHORT,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,28,350,154,m,0,LONG,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,28,150,156,z,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,1,100,158,z,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,1,100,159,z,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,300,164,z,100,LONG,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,22,150,165,m,0,SHORT,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,28,300,169,m,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,350,171,m,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,350,172,m,0,LONG,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,22,350,173,z,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,350,175,z,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,300,177,z,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,350,179,z,0,LONG,1
